ID,Scored,Area,Item,Deficiency,Criteria,H&S,Correction Timeframe,HCV Pass/Fail,HCV Correction Timeframe,Inspection Process - Observation,Inspection Process - Request for Help,Inspection Process - Action,Inspection Process - More Information,Tools or Equipment - Required,Tools or Equipment - Useful
1.3.1.3.0,,Outside,Address and Signage,"Address, signage, or building identification codes are broken, illegible, or not visible.","Address or building identification codes are broken, illegible, or not visible.",Moderate,30 days,Fail,30 days,"1. Look at the property and locate any signage or address. 
2. Look at individual buildings on the property and locate any signage or building identification codes identifying the building.",NONE,"1. Approach the entrance to the building from the main street, road, or parking area.",NONE,NONE,NONE
2.1.1.3.0,,Unit,Bathtub and Shower ,Only 1 bathtub or shower is present and it is inoperable or does not drain.,"Only 1 bathtub or shower is present within the unit and it is inoperable (i.e., overall system is not meeting function or purpose, with or without visible damage) or standing water is present such that the inspector believes water is unable to drain. ",Severe,24 hours,Fail,30 days,1. Identify the bathtub or shower.,"1. If the stopper is engaged, ask the resident or POA to remove or release the stopper.","1. Engage the handle or knob to verify if there is water supply to at least 1 bathtub or shower fixture. 
2. Turn off the water supply. 
3. Verify that water drains from the bathtub or shower.","1. If a handle or knob is missing, but the inspector is able to evaluate if there is water supply to at least 1 bathtub or shower fixture, then evaluate the missing component(s) under Deficiency 3. 
2. If hot water does not dispense after the handle or knob is engaged, then it should be evaluated under the Water Heater standard. 
3. In the event that a bathtub or shower was never installed within the Unit by design (e.g., in an SRO property), then the shared facilities are considered part of the Unit location for inspection purposes as they are the resident’s primary bathtub or shower.",NONE,NONE
2.2.2.3.0,,Inside,Bathtub and Shower ,Only 1 bathtub or shower is present and it is inoperable or does not drain.,"Only 1 bathtub or shower is present within the Inside and it is inoperable (i.e., overall system is not meeting function or purpose, with or without visible damage) or standing water is present such that the inspector believes water is unable to drain.",Low,60 days,Pass,N/A,1. Identify the bathtub or shower.,"1. If the stopper is engaged, ask the POA to remove or release the stopper. ","1. Engage the handle or knob to verify if there is water supply to at least 1 bathtub or shower fixture. 
2. Turn off the water supply. 
3. Verify that water drains from the bathtub or shower.","1. If a handle or knob is missing, but the inspector is able to evaluate if there is water supply to at least 1 bathtub or shower fixture, then evaluate the missing component(s) under Deficiency 3. 
2. If hot water does not dispense after the handle or knob is engaged, then it should be evaluated under the Water Heater standard. ",NONE,NONE
2.1.3.3.0,,Unit,Bathtub and Shower ,A bathtub or shower is inoperable or does not drain and at least 1 bathtub or shower is present elsewhere that is operational.,"A bathtub or shower is inoperable (i.e., overall system is not meeting function or purpose, with or without visible damage) or standing water is present such that the inspector believes water is unable to drain and at least 1 bathtub or shower is present elsewhere within the Unit that is operational.",Moderate,30 days,Fail,30 days,1. Identify each bathtub or shower.,"1. If the stopper is engaged, ask the resident or POA to remove or release the stopper.","1. Evaluate each identified bathtub or shower within the Unit by completing the following steps: 
- Engage the handle or knob to verify if there is water supply to at least 1 bathtub or shower fixture. 
- Turn off the water supply. 
- Verify that water drains from the bathtub or shower.","1. If a handle or knob is missing, but the inspector is able to evaluate if there is water supply to at least 1 bathtub or shower fixture, then evaluate the missing component(s) under Deficiency 3.
2. If hot water does not dispense after the handle or knob is engaged, then it should be evaluated under the Water Heater standard.",NONE,NONE
2.2.4.3.0,,Inside,Bathtub and Shower ,A bathtub or shower is inoperable or does not drain and at least 1 bathtub or shower is present elsewhere that is operational.,"A bathtub or shower is inoperable (i.e., overall system is not meeting function or purpose, with or without visible damage) or standing water is present such that the inspector believes water is unable to drain and at least 1 bathtub or shower is present elsewhere within the Inside that is operational.",Low,60 days,Pass,N/A,1. Identify each bathtub or shower.,"1. If the stopper is engaged, ask the POA to remove or release the stopper.","1. Evaluate each identified bathtub or shower within the Inside by completing the following steps: 
- Engage the handle or knob to verify if there is water supply to at least 1 bathtub or shower fixture. 
- Turn off the water supply. 
- Verify that water drains from the bathtub or shower.","1. If a handle or knob is missing, but the inspector is able to evaluate if there is water supply to at least 1 bathtub or shower fixture, then evaluate the missing component(s) under Deficiency 3.
2. If hot water does not dispense after the handle or knob is engaged, then it should be evaluated under the Water Heater standard.",NONE,NONE
2.1.5.3.0,,Unit,Bathtub and Shower ,"Bathtub component or shower component is damaged, inoperable, or missing such that it may limit the resident's ability to maintain personal hygiene.","Bathtub component or shower component is damaged (i.e., visibly defective; impacts functionality) such that it may limit the resident's ability to maintain personal hygiene. 
OR 
Bathtub component or shower component is inoperable (i.e., component is not meeting function or purpose, with or without visible damage) such that it may limit the resident's ability to maintain personal hygiene. 
OR 
Bathtub component or shower component is missing (i.e., evidence of prior installation, but is now not present or is incomplete) such that it may limit the resident's ability to maintain personal hygiene.",Moderate,30 days,Fail,30 days,"1. Identify all bathtubs or showers.
2. Visually inspect to identify any component that is damaged, inoperable, or missing.",NONE,"1. If a damaged, inoperable, or missing component is identified, determine if it limits the resident’s ability to maintain personal hygiene.","1. Damaged, inoperable, or missing components that may limit the resident's ability to maintain personal hygiene may include but are not limited to: 
- A singular water fixture within the bathtub or shower; 
- Control knob or lever; 
- Diverter valve; 
- Shower pan or tub; or 
- Discoloration impacting 50% or more of the bathtub or shower. 
2. If a stopper is damaged, inoperable, or missing, then it should be evaluated under Deficiency 4. 
3. In the event that a bathtub or shower was never installed within the Unit by design (e.g., in an SRO property), then the shared facilities are considered part of the Unit location for inspection purposes as they are the resident’s primary bathtub or shower.",NONE,NONE
2.2.6.3.0,,Inside,Bathtub and Shower ,"Bathtub component or shower component is damaged, inoperable, or missing such that it may limit the resident's ability to maintain personal hygiene.","Bathtub component or shower component is damaged (i.e., visibly defective; impacts functionality) such that it may limit the resident's ability to maintain personal hygiene. 
OR 
Bathtub component or shower component is inoperable (i.e., component is not meeting function or purpose, with or without visible damage) such that it may limit the resident's ability to maintain personal hygiene. 
OR 
Bathtub component or shower component is missing (i.e., evidence of prior installation, but is now not present or is incomplete) such that it may limit the resident's ability to maintain personal hygiene.",Low,60 days,Pass,N/A,"1. Identify all bathtubs or showers.
2. Visually inspect to identify any component that is damaged, inoperable, or missing.",NONE,"1. If a damaged, inoperable, or missing component is identified, determine if it limits the resident’s ability to maintain personal hygiene.","1. Damaged, inoperable, or missing components that may limit the resident’s ability to maintain personal hygiene may include but are not limited to: 
- A singular water fixture within the bathtub or shower; 
- Control knob or lever; 
- Diverter valve; 
- Shower pan or tub; or 
- Discoloration impacting 50% or more of the bathtub or shower. 
2. If a stopper is damaged, inoperable, or missing, then it should be evaluated under Deficiency 4. 
",NONE,NONE
2.1.7.3.0,,Unit,Bathtub and Shower ,"Bathtub component or shower component is damaged, inoperable, or missing and it does not limit the resident's ability to maintain personal hygiene. ","Bathtub component or shower component is damaged (i.e., visibly defective; impacts functionality) and it does not limit the resident's ability to maintain personal hygiene. 
OR 
Bathtub component or shower component is inoperable (i.e., component is not meeting function or purpose, with or without visible damage) and it does not limit the resident's ability to maintain personal hygiene. 
OR 
Bathtub component or shower component is missing (i.e., evidence of prior installation, but is now not present or is incomplete) and it does not limit the resident's ability to maintain personal hygiene.",Low,60 days,Pass,N/A,"1. Identify all bathtubs or showers.
2. Visually inspect to identify any component that is damaged, inoperable, or missing.",NONE,"1. If a damaged, inoperable, or missing component is identified, determine if it limits the resident's ability to maintain personal hygiene.","1. Damaged, inoperable, or missing components that do not limit the resident's ability to maintain personal hygiene may include but are not limited to: 
- Stopper (mechanical or non-mechanical); 
- Curtain; or 
- Discoloration impacting less than 50% of the bathtub or shower.
2. In the event that a bathtub or shower was never installed within the Unit by design (e.g., in an SRO property), then the shared facilities are considered part of the Unit location for inspection purposes as they are the resident's primary bathtub or shower.",NONE,NONE
2.1.8.3.0,,Unit,Bathtub and Shower ,Bathtub or shower cannot be used in private.,Bathtub or shower cannot be used in private. ,Moderate,30 days,Fail,30 days,"1. Identify all bathtubs or showers. 
2. Visually inspect to verify each bathtub or shower can be used in private. ",NONE,NONE,"1. For the purpose of this Standard, the resident should be able to use the bathtub or shower without being observed from an adjacent area or exterior space. ",NONE,NONE
2.2.9.3.0,,Inside,Bathtub and Shower ,Bathtub or shower cannot be used in private.,Bathtub or shower cannot be used in private. ,Moderate,30 days,Fail,30 days,"1. Identify all bathtubs or showers. 
2. Visually inspect to verify each bathtub or shower can be used in private. ",NONE,NONE,"1. For the purpose of this Standard, the resident should be able to use the bathtub or shower without being observed from an adjacent area or exterior space. ",NONE,NONE
3.1.1.3.0,,Unit,Cabinet and Storage,Food storage space is not present. ,Food storage space is not present. ,Moderate,30 days,Fail,30 days,1. Visually determine if food storage space is present. ,NONE,NONE,1. The presence of cold food storage should be evaluated under the Refrigerator standard. ,NONE,Flashlight
3.1.2.3.0,,Unit,Cabinet and Storage,"Storage component is damaged, inoperable, or missing.","50% or more of the kitchen, bath, or laundry cabinet, drawers, or shelves are damaged (i.e., visibly defective; impacts functionality). 
OR 
50% or more of the kitchen, bath, or laundry cabinet, drawers, or shelves are inoperable (i.e., overall system or component thereof is not meeting function or purpose; with or without visible damage).
OR 
50% or more of the kitchen, bath, or laundry cabinet, drawers, or shelves are missing (i.e., evidence of prior installation, but now not present or is incomplete). ",Moderate,30 days,Fail,30 days,"1. Survey storage components in the kitchen, bathroom, and laundry room for missing, damaged, or inoperable components. 
2. Visually assess the operation of the storage component. 
3. Evaluate shelf mounting brackets and hardware, as applicable. ",NONE,"1. Attempt to open every drawer and door. 
- Drawers and doors should open fully until stopped by the inherent limitations of the hinges or slide tracks. 
- Some slide tracks do not have stops; in these instances, open the drawer until you can see the back of the drawer.
2. Calculate the total number of doors, drawers, and shelves, then divide by the total of missing drawers, doors, and shelves","1. To calculate the percentage of components that are deficient, evaluate kitchen, bath, and laundry separately. 
2. Deficiencies are based on defects observed on individual components (e.g., doors, drawers, or shelves) as a percentage of the same component's total for all the storage components in the room.",NONE,Flashlight
3.2.3.3.0,,Inside,Cabinet and Storage,"Storage component is damaged, inoperable, or missing.","50% or more of the kitchen, bath, or laundry cabinet, drawers, or shelves are damaged (i.e., visibly defective; impacts functionality). 
OR 
50% or more of the kitchen, bath, or laundry cabinet, drawers, or shelves are inoperable (i.e., overall system or component thereof is not meeting function or purpose; with or without visible damage).
OR 
50% or more of the kitchen, bath, or laundry cabinet, drawers, or shelves are missing (i.e., evidence of prior installation, but now not present or is incomplete). ",Low,60 days,Pass,N/A,"1. Survey storage components in the kitchen, bathroom, and laundry room for missing, damaged, or inoperable components. 
2. Visually assess the operation of the storage component. 
3. Evaluate shelf mounting brackets and hardware, as applicable. ",NONE,"1. Attempt to open every drawer and door. 
- Drawers and doors should open fully until stopped by the inherent limitations of the hinges or slide tracks. 
- Some slide tracks do not have stops; in these instances, open the drawer until you can see the back of the drawer.
2. Calculate the total number of doors, drawers, and shelves, then divide by the total of missing drawers, doors, and shelves.","1. To calculate the percentage of components that are deficient, evaluate kitchen, bath, and laundry separately. 
2. Deficiencies are based on defects observed on individual components (e.g., doors, drawers, or shelves) as a percentage of the same component's total for all the storage components in the room.",NONE,Flashlight
